year,revenue,operating_income,profit_before_tax,net_income,current_assets,noncurrent_assets,total_assets,current_liabilities,noncurrent_liabilities,total_liabilities,total_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_and_cash_equivalents,accounts_receivable,inventory
2023,1858984000000,57032000000,134813000000,134241000000,1256460000000,1555846000000,2812306000000,583192000000,128457000000,711649000000,2100656000000,144128000000,-199229000000,63247000000,299258000000,,
2024,2067791000000,54880000000,61432000000,55163000000,1360261000000,1581788000000,2942049000000,619136000000,172242000000,791379000000,2150670000000,54602000000,-117369000000,65836000000,306476000000,609128137239,343155941089
2025,2186638000000,104374000000,222675000000,185319000000,1511630000000,1709296000000,3220926000000,733553000000,125088000000,858641000000,2362284000000,106227000000,-70954000000,8044000000,348565000000,694441735093,372764189868
