year,report_code,report_name,period_order,revenue_growth_pct,operating_margin_pct,net_margin_pct,current_ratio_pct,debt_to_equity_pct,equity_ratio_pct,roa_pct,roe_pct,cfo_conversion_pct,dso_days,free_cash_flow
2021,11012,반기보고서,2,,50.020088401173915,35.9024232155968,301.51843604036895,41.61383311634266,70.6145704832699,,,208.17538752483546,,450107931702.0
2021,11014,3분기보고서,3,,47.37280431918866,41.264948138086275,407.97876587216166,28.76157334127215,77.66292179030624,,,497.32798896911453,,928072913767.0
2021,11011,사업보고서,4,,46.55490818671819,36.32922820768218,330.5657410845922,36.38575405573838,73.32144085894177,,,116.01914125627472,,1137630914072.0
2022,11013,1분기보고서,1,,44.626955434341205,34.20653663402535,263.4251126087608,48.87104443399129,67.17222975105783,,,22.905538085487972,,2199229559.0
2022,11012,반기보고서,2,1.8733337052235652,43.79156611951802,42.59147655007421,412.49110065972764,25.41814918793628,79.73327676056856,11.840347181191708,15.47918409050568,103.72785889706549,260.66545679665273,150453751983.0
2022,11014,3분기보고서,3,4.645067682586192,53.24100965005507,76.50725580854328,630.7984166880173,15.61828239306132,86.49151148953703,12.811544379036121,15.473825780620423,146.7955322328278,248.22572833728773,379141549508.0
2022,11011,사업보고서,4,0.06964599656850595,39.10722483574612,30.995505967615543,847.6222748706975,10.694417091374213,90.3387927120603,29.00213032022115,35.2915134542493,97.95823616647434,19.645515807100104,593119903080.0
2023,11013,1분기보고서,1,-86.8629630440921,-67.86100497947895,-121.9398412650301,248.15861190305023,51.26932375856349,66.10725659064032,-5.509015866315954,-8.2697347552393,32.42009196049316,1085.023385595829,-117881710688.0
2023,11012,반기보고서,2,-79.54269765771541,-46.97912332329203,-51.07076409296315,167.72871885093966,46.70399656953745,68.16446882045246,-2.1655106181187245,-2.93731747980961,159.04730095366756,872.2021859736956,-206753160312.0
2023,11014,3분기보고서,3,-72.59834766108061,-29.292352693489704,-42.24991481644937,213.98323934689483,30.86671680556427,76.41362329626973,-1.6660023351320754,-2.045481301013435,364.80498752445345,814.1509157302897,-351290553982.0
2023,11011,사업보고서,4,-77.63723768287039,-37.836427667034066,-71.36203410032277,300.84085753346545,33.8078389696373,74.73403708634086,-13.272456665728367,-16.195138840707937,51.78807247251633,69.17976078522986,-384884430668.0
2024,11013,1분기보고서,1,-3.2956106477617757,-5.987892201064851,-6.329956291180462,461.3777270368689,29.502707351152875,77.2184628764904,-0.28072875936547226,-0.39354245167172147,-103.65100143806494,306.5694565966348,-12133390405.0
2024,11012,반기보고서,2,2.965776196118593,-8.888129367974356,-10.741361873279674,574.143242674538,29.956086517080248,76.94907001285924,-0.46202742430975297,-0.6376874619736476,-216.86956279995954,285.75721663123574,-449202287.0
2024,11014,3분기보고서,3,12.962784405626929,-6.177454446898567,38.20841976061767,582.5367695932939,29.364050712276814,77.30122816145698,1.715118387268078,2.2316701755631327,266.7211461707427,262.39894608673825,109332428419.0
2024,11011,사업보고서,4,5.932389105625246,-7.782808122218928,-14.129481860453962,531.4755911907581,32.60886947479128,75.40973721897979,-2.556621089229877,-3.405365014376426,-159.49408788571148,72.76590898378691,77743755175.0
2025,11013,1분기보고서,1,5.066417210457832,-7.8579844056967465,-10.144235010650718,494.6332893694896,33.5584957172486,74.87355968107491,-0.4956115065485122,-0.6518624849601072,88.87263242178261,271.80141864534,-30907858673.0
2025,11012,반기보고서,2,-0.5730790075175484,-12.360451613271081,165.24564375420172,752.2499496980408,29.38230376757988,77.29032262374787,7.1251331904336555,9.238741294618908,108.37719760812143,289.74962414492546,265983386739.0
2025,11014,3분기보고서,3,-3.7615432567053686,-8.50603895987454,-6.038580209814095,749.7099532545917,29.792741692305434,77.04591080837638,-0.2558638057103249,-0.33155849024681056,-3157.750544570886,262.65122830386184,268402331118.0
2025,11011,사업보고서,4,2.304583039848296,-11.391410651906801,-72.2491505681618,264.4097789447579,38.763614952006456,72.06500063765746,-14.398410906842122,-19.486593115043075,-69.63850455373182,70.49560020605493,300430578409.0
2026,11013,1분기보고서,1,4.426323006350878,-5.970301638211815,11.537961043334187,507.19888613384,24.05648876276193,80.60843974976102,0.6577234451682497,0.8502003200866857,-18.54393256322977,,
2026,11012,반기보고서,2,11.997731951684202,-3.91477932414294,8.7462078200688,650.9713539288189,20.614743057204613,82.90860425957418,0.4780836598076446,0.600006849158484,-15.875145503463953,,
